2025-11-13 14:45:02.709 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:52 - 使用数据库文件路径: D:\PycharmProjects\XHS-OCR\db\ocr_data.db
2025-11-13 14:45:02.711 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:69 - 数据库中已存在的表: ['s_xhs_note_data_overview_ocr', 's_xhs_note_traffic_analysis_ocr', 's_xhs_user_info_ocr', 's_xhs_video_data_overview_bottom_ocr', 's_xhs_video_data_overview_top_ocr', 's_xhs_video_traffic_analysis_ocr', 's_xhs_video_data_overview_ocr', 'sqlite_sequence', 's_xhs_traffic_analysis_ocr']
2025-11-13 14:45:02.711 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:92 - 执行查询: SELECT * FROM s_xhs_video_data_overview_top_ocr WHERE 采集日期 >= ? 参数: 20251110
2025-11-13 14:45:02.719 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:100 - 查询结果行数: 1
2025-11-13 14:45:02.719 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:104 - 列名: ['数据来源', '设备IP', '账号ID', '作品标题', '链接', '采集日期', '内容类型', '曝光数', '观看数', '封面点击率', '平均观看时长', '完播率', '2秒退出率', '涨粉数']
2025-11-13 14:45:02.719 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:118 - 表 s_xhs_video_data_overview_top_ocr 查询到 1 行数据
2025-11-13 14:45:02.719 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:122 - 表 s_xhs_video_data_overview_top_ocr 前3行数据示例: [('1894230222988058625', '172.25.1.41', '1944609540455948358', '这个嘎子姐的星星卡点太美萌了', 'http://xhslink.com/o/9lIlKBscMet', 20251112, '视频', '279', '59', '10.4%', '5.2', '16.3%', '49%', '0')]
2025-11-13 14:45:02.719 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:92 - 执行查询: SELECT * FROM s_xhs_video_data_overview_bottom_ocr WHERE 采集日期 >= ? 参数: 20251110
2025-11-13 14:45:02.719 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:100 - 查询结果行数: 1
2025-11-13 14:45:02.719 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:104 - 列名: ['数据来源', '设备IP', '账号ID', '作品标题', '链接', '采集日期', '内容类型', '点赞数', '评论数', '收藏数', '分享数', '弹幕数']
2025-11-13 14:45:02.719 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:118 - 表 s_xhs_video_data_overview_bottom_ocr 查询到 1 行数据
